Party	Total_Amount_sum	Total_count
Conservative Party of Canada	3,852,901.00	5661
New Democratic Party	3,010,238.07	4632
Liberal Party of Canada	2,073,716.51	3074
No Affiliation	329,906.53	415
Green Party of Canada	300,387.53	751
Christian Heritage Party of Canada	134,302.33	233
Bloc Québécois	125,706.09	180
Independent	38,033.87	55
Libertarian Party of Canada	28,407.63	80
Canada Party	20,230.00	11
Forces et Démocratie	8,969.98	11
Progressive Canadian Party	6,439.35	21
Seniors Party of Canada	4,172.75	9
Pirate Party of Canada	1,040.00	3
National Advancement Party of Canada	725.00	26
Marijuana Party	float(None)	1
